,SourceFile,Page,PageUtterances,PageSpeakers,PageEmotions,PagePanels,PageBalloons,FileNr,Split,ComicBookTitle,image_path
209,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,16,"['The Lord is my Shepherd; I shall not want.', 'He maketh me to lie down in \n\ngreen pastures: \n\nhe leadeth me beside \n\nthe still waters.', ""He restoreth my soul: he leadeth\n\nme in the paths of righteousness \n\nfor his name's sake."", 'Thou preparest a table \n\nbefore me in the presence \n\nof mine enemies: ', 'thou anointest my head with \n\noil; my cup runneth over.', 'Yea, though I walk through \n\nthe valley of the shadows \n\nof death', 'I will fear no evil: for thou art \n\nwith me; thy rod and thy staff \n\nthey comfort me.', 'Surely goodness and mercy shall\n\nfollow me all the days of my life:\n\n and I will dwell in the house of \n\nthe Lord for ever.']","['ID-2', 'ID-2', 'ID-2', 'ID-2', 'ID-2', 'ID-2', 'ID-2', 'ID-2']","[""['Anger']"", ""['Anger']"", ""['Anger']"", ""['Anger']"", ""['Anger']"", ""['Anger']"", ""['Anger']"", ""['Anger']""]","[1, 2, 2, 2, 2, 2, 2, 2]","[1, 1, 2, 3, 4, 5, 6, 7]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00016.jpg
210,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,18,"['YOU DID IT. PASTOR! YOU SAVED THE TOWN!', ""COME ON NOW, LET'S GIVE THE PASTOR A HAND UP HERE, RONNIE."", 'YES SIREE PASTOR. YOU WERE RIGHT. HE WAS A FRAUD.', 'YOU EXPOSED THE REAL DEVIL. SAVED US ALL, I BELIEVE.']","['ID-10', 'ID-6', 'ID-6', 'ID-6']","[""['Anger', 'Fear', 'Sadness']"", ""['Anger']"", ""['Anger', 'Sadness']"", ""['Anger', 'Joy']""]","[1, 1, 1, 3]","[1, 4, 5, 1]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00018.jpg
211,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,19,"['WELL, PAH-RAISE BE!', ""WHAT'S' AT? PRAISE WHO?"", ""UH YEAH, WELL, THAT GETS KINDA COMPLICATED, YA' SEE."", 'BEST WE LEAVE THAT TALE FOR ANOTHER TIME.', ""PUT A PININIT, I LIKE TA' SAY."", 'OUR NEXT TALE IS A LOVE STORY OF SORTS. WHAT HAPPENS WHEN TWO PEOPLE MEANT TO BE TOGETHER FIND EACH OTHER.', ""'COURSE, WHEN ONE OF THEM IS ALREADY SPOKEN FOR, THAT CAN BE, WELL, AN OBSTACLE, FOR SOME."", 'FOR OTHERS, IT\'S JUST A WAY OF SHOWING THEM "" WHERE THE HEART WAS. ""']","['ID-1', 'ID-1', 'ID-1', 'ID-1', 'ID-1', 'ID-1', 'ID-1', 'ID-1']","[""['Anger']"", ""['Joy']"", ""['Joy']"", ""['Joy']"", ""['Joy']"", '[Neutral]', '[Neutral]', '[Neutral]']","[1, 2, 2, 2, 3, 4, 4, 4]","[1, 1, 2, 3, 1, 2, 3, 4]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00019.jpg
212,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,20,"['IT WAS THURSDAY NIGHT. THAT WAS IMPORTANT, TO REMEMBER THE DATE.', 'THERE IT IS AGAIN; DID YOU HEAR THAT, RENNY?', 'PROBABLY YOUR DAMNED CAT AGAIN.', ""THAT'S THE BACK DOOR!""]","['Renny', 'Barb', 'Renny', 'Barb']","[""['Anger', 'Sadness']"", ""['Fear']"", ""['Anger', 'Surprise']"", ""['Fear']""]","[1, 1, 1, 2]","[1, 2, 3, 1]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00020.jpg
213,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,21,"['SHITFIRE…', 'VICTOR, YOU STUBBORN SUMBITCH… YOU NEVER LEARN, DO YOU?', 'IT WAS IMPORTANT TO REMEMBER THE DATE BECAUSE VICTOR HAD DIED EXACTLY ONE WEEK AGO, AND THIS WAS HIS SECOND TIME BACK.', '#YRWAAA  ', '#AARGHHH   ', '#GRROWL  ', '#SNARLL   ', 'HOW DID WE ARRIVE AT THIS MOMENT?', 'THIS IS STRIKE THREE FOR YOU, WORM-FOOD.']","['Renny', 'Renny', 'Renny', 'Victor Jacks', 'Victor Jacks', 'Victor Jacks', 'Victor Jacks', 'Renny', 'Renny']","[""['Anger']"", ""['Anger']"", ""['Anger', 'Sadness']"", ""['Anger']"", ""['Anger']"", ""['Anger']"", ""['Anger']"", ""['Anger']"", ""['Anger']""]","[1, 2, 3, 3, 3, 3, 3, 3, 3]","[1, 2, 1, 2, 3, 4, 5, 6, 7]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00021.jpg
214,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,22,"[""BARB'S STORY…"", 'VICTOR JACKS WAS ALL CHARM AT FIRST.', ""YOU'RE A BEAUTY, YOU ARE. YOU OUGHTA BE UP ON STAGE, NOT WORKING THIS DEAD END GIG."", 'BRING THE PINK, YOU NASTY LITTLE TRAMP!', 'TAKE IT OFF!', 'HE HELPED ME WITH MY ABORTION AND GOT ME A BETTER-PAYING JOB. HE WAS PROTECTIVE AND NICE…', 'GROW SOME TITS!', '… AND HE ONLY REALLY HIT ME WHEN I DESERVED IT.', ""SIMPLE BITCH; YOU'VE GOTTA LEARN TO DO AS YOU'RE TOLD!"", ""I'M SORRY, VICTOR, I WASN'T THINKING…"", ""I THOUGHT IT WAS FOR MY OWN GOOD. I DIDN'T KNOW NO BETTER UNTIL RENNY CAME ALONG.""]","['ID-1', 'Barb', 'Victor Jacks', 'ID-11', 'ID-11', 'Barb', 'ID-11', 'Barb', 'Victor Jacks', 'Barb', 'Barb']","['[Neutral]', ""['Sadness']"", ""['Joy']"", ""['Joy']"", ""['Joy']"", ""['Sadness']"", ""['Joy']"", ""['Sadness']"", ""['Anger']"", ""['Sadness']"", ""['Sadness']""]","[1, 1, 1, 3, 3, 3, 3, 4, 4, 5, 5]","[1, 2, 3, 1, 2, 3, 4, 1, 2, 1, 2]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00022.jpg
215,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,23,"[""RENNY'S STORY…"", 'I MET VICTOR WHEN HE ASKED ME TO DO A TEAR-DOWN. MILD STREET CAMS, LIFTERS, ADJUSTABLE PUSH RODS, LARGER-BORE PISTONS, BETTER PIPES.', 'IT WAS EASY TO BECOME HIS DRINKING BUDDY. NOTHING BETTER THAN A NEWBIE BIKER WITH A WAD TO SPEND.', 'PLUS, HIS GIRLFRIEND WAS FAIRLY HOT.', ""Y'KNOW, THEY TALK ABOUT EYE CONTACT BEING IMPORTANT; HOW YOU CAN GET STRUCK BY THE THUNDERBOLT WHEN YOU LEAST EXPECT IT?"", ""THAT'S SORTA WHAT HAPPENED. IT'S HAPPENED BEFORE AND WILL HAPPEN AGAIN… IT'S JUST HUMAN NATURE."", 'IT IS WHAT IT IS.']","['ID-1', 'Renny', 'Renny', 'Renny', 'Renny', 'Renny', 'Renny']","['[Neutral]', ""['Anger', 'Joy']"", ""['Anger', 'Joy']"", ""['Anger', 'Joy']"", ""['Anger', 'Joy']"", ""['Joy']"", ""['Joy']""]","[1, 1, 1, 2, 2, 2, 3]","[1, 2, 3, 1, 2, 3, 1]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00023.jpg
216,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,24,"['EXACTLY ONE WEEK EARLIER…', ""JESUS, YOU'VE GOT REALLY NICE HANDS… ALL BIG AND WARM… NOT LIKE A MECHANIC."", 'YOUR SKIN IS REALLY SOFT…', 'YOU SURE THIS IS OKAY?', ""VICTOR'S OUT ROAD-DOGGIN' IT. HE WANTS TO MEET SOME IRON HORSEMEN AND TRY TO IMPRESS 'EM, Y'KNOW."", 'FAIR ENOUGH. JUST KISS ME…', ""IF IT WASN'T LOVE, IT WAS A SHELTER-FROM-THE-STORM KINDA THING."", 'OFF THE BED, CAT!', 'WAIT A MINUTE YOU HEAR THAT?', ""IT'S THE DAMNED CAT."", ""IT AIN'T THE DAMNED CAT."", ""WELL, I'LL BE GODDAMNED ALL TO HELL."", 'OH. VICTOR.', ""IT AIN'T WHAT IT LOOKS LIKE, HONEY!"", 'JUST CALM DOWN A SECOND THERE, BROTHER…']","['ID-1', 'Barb', 'Renny', 'Barb', 'Renny', 'Barb', 'Renny', 'Renny', 'Renny', 'Barb', 'Renny', 'Victor Jacks', 'Renny', 'Barb', 'Renny']","[""['Joy']"", ""['Joy']"", ""['Joy']"", ""['Surprise', 'Joy']"", ""['Joy']"", ""['Joy']"", ""['Joy']"", ""['Anger']"", ""['Fear']"", ""['Anger']"", ""['Anger']"", ""['Anger']"", ""['Surprise']"", ""['Fear']"", ""['Fear']""]","[2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 5, 5, 5]","[1, 2, 3, 4, 5, 6, 7, 1, 3, 4, 5, 1, 1, 2, 3]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00024.jpg
217,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,25,"[""I AIN'T YOUR FUCKIN' BROTHER. I…"", '… I… I…', '....I… OHMIGOD…', 'OKAY… WHAT THE HELL WAS THAT?!']","['Victor Jacks', 'Victor Jacks', 'Victor Jacks', 'Renny']","[""['Anger']"", ""['Fear', 'Surprise']"", ""['Fear', 'Surprise']"", ""['Anger', 'Fear']""]","[1, 2, 3, 5]","[1, 1, 1, 1]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00025.jpg
218,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,26,"['TWO DAYS AFTER THAT…', ""I'M TELLIN' YA, RENNY, IT AIN'T THE CAT."", ""IT SURE AS HELL AIN'T!""]","['Renny', 'Barb', 'Barb']","[""['Sadness']"", ""['Fear']"", ""['Anger', 'Fear']""]","[1, 1, 2]","[1, 2, 1]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00026.jpg
219,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,27,"['VICTOR HAD APPARENTLY SLID OUT OF HIS DRAWER AT THE MORGUE AND COME CALLING. BEFORE HIS OWN FUNERAL, WHICH WAS REALLY BAD TASTE.', ""HOW? HOW?! THIS AIN'T POSSIBLE!"", 'IT IS WHAT IT IS, BABE.', 'HOW DO WE EXPLAIN THIS?!', ""WE DON'T. WE'VE GOT THIS. GIT YER CLOTHES ON."", ""WHY?! WHERE'RE WE GOIN'?!"", 'NOBODY EVER GOES TO THE RESERVOIR AT NIGHT.']","['Renny', 'Barb', 'Renny', 'Barb', 'Renny', 'Barb', 'Renny']","[""['Sadness']"", ""['Fear']"", ""['Anger', 'Sadness']"", ""['Surprise']"", ""['Anger']"", ""['Surprise']"", ""['Sadness']""]","[1, 1, 1, 1, 1, 1, 2]","[1, 2, 3, 4, 5, 6, 1]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00027.jpg
220,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,28,"['… WHICH PRETTY MUCH BRINGS US BACK TO WHERE THIS PART OF THE STORY INTERRUPTED OUR MOMENT OF TENDERNESS…', 'THIS IS STRIKE THREE FOR YOU, WORM-FOOD.', ""HOLY SHIT, RENNY… HIS HEAD'S OFF!"", ""SURE IS. I WOULDN'T HAVE IT ANY OTHER WAY. GIT YER CLOTHES ON."", 'RESERVOIR?', 'YUP.']","['Renny', 'Renny', 'Barb', 'Renny', 'Barb', 'Renny']","[""['Anger']"", ""['Anger']"", ""['Anger', 'Fear']"", ""['Anger']"", ""['Surprise']"", ""['Anger']""]","[1, 1, 4, 5, 6, 6]","[1, 2, 1, 1, 1, 2]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00028.jpg
221,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,29,"[""HERE'S TO YOU, HONEY."", 'THINGS CALMED DOWN AFTER THAT…', '… FOR ABOUT THREE DAYS.', ""OH, C'MON, RENNY, THAT REALLY WAS THE CAT, THIS TIME."", 'I BROKE EVERY BONE IN HIS FUCKING HEADLESS GODDAMNED CORPSE.', ""IT'S THE CAT. HE'S UNDER THE BED."", ""C'MON OUT, YOU LITTLE SHITWHEEL.""]","['Barb', 'Renny', 'Renny', 'Barb', 'Renny', 'Barb', 'Renny']","[""['Joy']"", ""['Joy']"", ""['Joy']"", ""['Anger', 'Sadness']"", ""['Anger']"", ""['Anger']"", ""['Anger']""]","[2, 2, 2, 3, 4, 4, 5]","[2, 4, 5, 1, 1, 2, 1]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00029.jpg
222,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,30,"['#GAAAHH!\n\nGGGGGHHH--!', 'SON OF A… BITCH… OWWW!', 'IT WAS LIKE TRYING TO WRESTLE A WATERBED. OR SCREW CIGARETTE SMOKE.', 'BARB! BARB?! I NEED A FUCKING HAND, HERE…!', '#YAA AAAAAA']","['Renny', 'Renny', 'Renny', 'Renny', 'Barb']","[""['Fear']"", ""['Anger']"", ""['Anger']"", ""['Fear']"", ""['Anger']""]","[2, 4, 5, 5, 5]","[1, 1, 1, 2, 3]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00030.jpg
223,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,31,"['#YAAA AAAAAHHHH!', 'YOU CUT ME OPEN…', 'I MISSED, BABE-SORRY! THAT THING WAS ALL OVER THE PLACE.', ""NAW. DIDN'T MEAN IT THAT WAY. YOU DID GOOD. BUT… THAT THING… IT'S OLE YOU KNOW WHO AGAIN."", ""NO WAY. CAN'T BE."", 'SURE IS. LOOK.', ""HE JUST DON'T WANNA GIVE US A MOMENT'S PEACE…""]","['Barb', 'Renny', 'Barb', 'Renny', 'Barb', 'Renny', 'Renny']","[""['Anger']"", ""['Anger']"", ""['Anger', 'Sadness']"", ""['Anger', 'Sadness']"", ""['Sadness']"", ""['Sadness']"", ""['Anger', 'Sadness']""]","[1, 3, 3, 3, 3, 3, 4]","[1, 2, 3, 4, 5, 6, 1]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00031.jpg
224,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,32,"['WHAT IF HE KEEPS COMING BACK EVERY TIME WE… YOU KNOW?', ""HE AIN'T GONNA DO THAT."", 'RESERVOIR?', 'NO. HAND ME THAT CLEAVER.', '#UGGGHH#', 'THERE. THE RATS CAN HAVE HIM.']","['Barb', 'Renny', 'Barb', 'Renny', 'Barb', 'Renny']","[""['Sadness']"", ""['Anger']"", ""['Surprise']"", ""['Anger']"", ""['Disgust']"", ""['Anger']""]","[1, 1, 2, 4, 9, 9]","[1, 2, 1, 1, 1, 2]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00032.jpg
225,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,33,"['THAT WORKED OUT FOR ABOUT TWO DAYS, UNTIL…', ""RENNY! RENNY! IT'S GOT RUMPLECATSKIN!"", 'AGGH! #CHOKE!#', 'GODDAMMIT…']","['Renny', 'Barb', 'Barb', 'Renny']","[""['Sadness']"", ""['Fear']"", ""['Fear']"", ""['Sadness']""]","[1, 3, 3, 4]","[1, 1, 2, 1]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00033.jpg
226,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,34,"['WHUT… #GASP#… WHAT DO WE… DO NOW?', 'FIRE UP THE BARBECUE.', 'IT SMELLED LIKE PORK.', ""GAWD. IT'S LIKE WE'RE BREATHING HIM IN."", 'FLOWERS DECAY. BANQUETS SPOIL. WATER EVAPORATES. AND SNEAKY VICTORY HAD SOURED.', 'NOW ALL EITHER OF THEM WANTED WAS TO SLEEP.', 'THEY SAY THAT COMMON HOUSE DUST IS 90% DESICCATED HUMAN FLESH.', 'AS BARB REACHED FOR THE CLEAVER UNDER THE BED…', '… RENNY REACHED FOR THE BALLBAT.', 'BECAUSE IT WAS WHAT IT WAS…', '… DOWN DEEP, WHERE THE HEART WAS.']","['Barb', 'AN5-DI0-FE0-SA0-SU0-JO0', 'ID-1', 'Barb', 'Barb', 'ID-1', 'ID-1', 'ID-1', 'ID-1', 'ID-1', 'ID-1']","[""['Fear']"", ""['Anger']"", '[Neutral]', ""['Anger', 'Sadness']"", '[Neutral]', '[Neutral]', '[Neutral]', '[Neutral]', '[Neutral]', '[Neutral]', '[Neutral]']","[2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 6]","[1, 2, 1, 2, 1, 2, 1, 2, 3, 1, 2]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00034.jpg
227,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,35,"[""HMM… SO, I'M GONNA SAY…"", 'THERE IS DEFINITELY A TIME WHEN YOU NEED TO LET GO.', ""THAT'S A FACT. ALL THEM OLD LOVE SONGS SIMPLY GOT IT WRONG, SEE?"", ""EHH, NEVER MIND. I'LL NEVER CONVINCE YOU. BESIDES, WE'VE GOT PLACES TO GO."", ""OUR NEXT TALE'S GONNA TAKE US SOMEPLACE BRAND NEW… THE FINAL FRONTIER!"", 'OOPS! CAN I SAY THAT? I MEAN, WITHOUT PAYING SOMEONE?', 'WELL, I KNOW ONE WORD I CAN SAY. AN\' THAT WORD IS - ""BUG!""']","['ID-1', 'ID-1', 'ID-1', 'ID-1', 'ID-1', 'ID-1', 'ID-1']","[""['Joy']"", ""['Joy']"", ""['Joy']"", ""['Joy']"", ""['Joy']"", ""['Joy']"", ""['Joy']""]","[1, 2, 3, 4, 5, 5, 5]","[1, 1, 1, 1, 1, 2, 3]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00035.jpg
228,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,36,"['Log of Exterra Evaluation ship Octagenti. Earth Date April 17,2415. Octagenti is approaching gas giant Venii 67P. Moon XT-50e is still occulted, but should emerge from behind the planet shortly.', 'Because of occultation, we have not yet made contact with Exterra Explorer ship Bandersnatch.', ""THAT MOON LOOKED LIKE NOTHING --JUST A DIRTY SNOWBALL--IN MARA'S REPORT."", 'GLAD SOMETHING MADE HER TAKE A CLOSER LOOK.', ""IF IT'S ALL YOUR WOMAN THINKS IT IS, DOC, IT'S GONNA MAKE US FILTHY RICH."", ""CAN'T WAIT TA FEAST MAH EYES ON THAT SWEET LITTLE POPSICLE!"", 'AND THERE IT IS, CAPTAIN! EMERGING RIGHT ON SCHEDULE!']","['ID-12', 'ID-12', 'AN1-DI0-FE0-SA0-SU0-JO0', 'Jodh', 'ID-14', 'Belle', 'ID-12']","['[Neutral]', '[Neutral]', ""['Anger']"", ""['Joy']"", ""['Joy']"", ""['Joy']"", ""['Joy']""]","[1, 1, 1, 1, 1, 1, 1]","[1, 2, 4, 6, 7, 8, 9]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00036.jpg
229,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,37,"['POPSICLE, BELLE?', ""SURE, DOC! WHAT ELSE WOULD YA'LL CALL A YUMMY LITTLE ICE MOON?"", ""I'D CALL IT THE GOLDEN EGG-- AS IN GOOSE THAT LAID!"", 'RICH IN WATER AND MINERALS WITH A LAVA CORE.', 'PLUS LOCATION! SEEMS TOO GOOD TO BE TRUE!', 'I WANNA KISS YOUR GIRL FOR RECOMMENDING US FOR THE SECOND PHASE.', 'PURE SELF INTEREST, CHEN. SHE WANTS TO KEEP THE SETUP FEES IN THE FAMILY.', ""I MISS HER. WE HAVEN'T BEEN ABLE TO TALK IN WEEKS."", ""OCCULTATION'S A BITCH, DOC. STILL, YOU'LL HAVE TOGETHER TIME BEFORE THE BANDERSNATCH PUSHES ON."", ""SURVEY AND SETUP'LL KEEP US HERE A WHILE, BUT OUR BONUS WILL MAKE IT WORTH THE STAY."", 'ONCE TERRAFORMED, THAT BABY WILL BE THE PERFECT DEEP SPACE REFUELING STATION.', 'AND WE CAN ALL RETIRE RICH.']","['ID-12', 'Belle', 'Jodh', 'Jodh', 'Chen', 'Chen', 'ID-12', 'ID-12', 'Chen', 'ID-12', 'ID-12', 'Chen']","[""['Joy']"", ""['Joy']"", ""['Surprise', 'Joy']"", ""['Joy']"", ""['Joy']"", ""['Joy']"", ""['Joy']"", ""['Sadness']"", ""['Sadness', 'Joy']"", ""['Joy']"", ""['Joy']"", ""['Joy']""]","[1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3]","[1, 2, 1, 2, 1, 2, 3, 4, 5, 6, 7, 8]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00037.jpg
230,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,38,"[""I KNOW. IT'S JUST --"", 'SOMETHING WORRYING YOU, DOC?', 'JUST AS THEY WERE LOSING CONTACT, MARA NOTIFIED HQ SOME OF HER CREW WERE ILL. I HAVE THIS FEELING--', 'THE MESSAGE WAS GARBLED-- JUST SOMETHING ABOUT A BUG. PEOPLE GET SICK. IT HAPPENS.', 'BY NOW THEY SHOULD BE FINE… AND IN HAILING RANGE.', ""I KNOW. THEY SHOULD'VE CONTACTED US."", 'PROBABLY OFF SHIP. GO ON AND RAISE THEM. I WANT TO THANK YOUR MARA FACE TO FACE.', 'AYE, CAPTAIN!', 'OCTAGENT CALLING EXTERRA EXPLORER BANDERSNATCH. COME IN, BANDERSNATCH.', ""NO ANSWER? TRY MARA'S SUIT UNIT. MAYBE--"", ""MARA? HEY, MARA, IT'S MAC! ARE YOU THERE?"", 'NO REPLY, NO SIGNAL, NOT EVEN STATIC.', ""SOMETHING'S WRONG!"", 'NOTIFY HQ THERE MIGHT BE A PROBLEM, DOC.', ""TELL THEM WE'RE GOING DOWN TO CHECK.""]","['ID-12', 'ID-13', 'ID-12', 'ID-13', 'ID-13', 'ID-12', 'ID-13', 'ID-12', 'ID-12', 'ID-13', 'ID-12', 'ID-12', 'ID-12', 'ID-13', 'ID-13']","[""['Sadness', 'Joy']"", ""['Surprise', 'Joy']"", ""['Sadness']"", ""['Sadness']"", ""['Sadness']"", '[Neutral]', ""['Sadness']"", ""['Joy']"", ""['Joy']"", ""['Surprise']"", ""['Surprise', 'Joy']"", ""['Fear', 'Surprise', 'Joy']"", ""['Anger']"", ""['Fear', 'Sadness']"", ""['Anger']""]","[1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 5]","[1, 2, 3, 1, 2, 3, 4, 1, 2, 3, 4, 1, 2, 3, 1]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00038.jpg
231,QC copy - 1517 - 37 John Carpenter Historias para una noche de Halloween 3.xlsx,39,"['SUIT UP. FULL GEAR. AND WEAPONS.', ""WE DON'T KNOW WHAT WE'LL FIND THERE."", 'COULD HAVE BEEN HIT BY A METEOR.', ""WE DODGED PLENTY GETTING HERE. AREA'S THICK WITH THEM."", 'OR THEY WERE ATTACKED BY ALIENS.', ""ALIENS? GET REAL, BELLE. SO FAR, WE HAVEN'T MET ANY LIVE ONES."", 'SENTIENT LIVE ONES, ANYWAY. SEEN RUINS ON A FEW ODD PLANETS BUT--', 'MAYBE, DOC. BUT LAST STOP SOME OLD SPACERS TOLD ME-', 'TALES TO FRIGHTEN CHILDREN, BELLE.', ""SO PULL UP YOUR BIG KID PANTS AND STRAP IN, BOYS AND GIRLS. WE'RE HEADING DOWN.""]","['ID-13', 'ID-13', 'Jodh', 'Jodh', 'Belle', 'ID-13', 'ID-12', 'Belle', 'ID-13', 'ID-13']","[""['Anger']"", ""['Anger']"", ""['Anger', 'Sadness']"", ""['Anger', 'Sadness']"", ""['Fear', 'Sadness']"", ""['Anger', 'Sadness']"", ""['Anger']"", ""['Anger']"", ""['Anger']"", ""['Anger']""]","[1, 1, 2, 2, 3, 4, 5, 6, 6, 6]","[1, 2, 1, 2, 1, 1, 1, 2, 3, 4]",1517,TRAIN,John Carpenter's Tales for a Halloweenight #3,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001517/images/page00039.jpg
